Game,Year,Developer,Publisher,Film
Jurassic Park III: Island Attack,2001,Mobile21,Konami,Jurassic Park III
Jurassic Park III: Park Builder,2001,Konami,Konami,Jurassic Park III
Jurassic Park III: The DNA Factor,2001,Konami Computer Entertainment Hawaii,Konami,Jurassic Park III
Jurassic Park Interactive,1994,Studio 3DO,Universal Interactive Studios,Jurassic Park
The Karate Kid,1987,Atlus[34],LJN[34],The Karate Kid and The Karate Kid Part II
King Arthur,2004,Krome Studios,Konami,King Arthur
Peter Jackson's King Kong,2005,Ubisoft Pictures,Ubisoft,King Kong
Kirikou,2001,Étranges Libellules (PS),Wanadoo,Kirikou and the Sorceress
Kick-Ass: The Game,2010,Frozen Codebase,Frozen Codebase (iOS),Kick-Ass
Kick-Ass 2: The Game,2014,Freedom Factory Studios,UIG Entertainment,Kick-Ass 2
Krull,1983,"Atari, Inc.","Atari, Inc.",Krull
Kung Fu Panda,2008,"Luxoflux (PlayStation 3, Xbox 360)",Activision,Kung Fu Panda
Kung Fu Panda 2,2011,Griptonite Games,THQ,Kung Fu Panda 2
Kung Fu Panda World,2010,,DreamWorks Animation,Kung Fu Panda franchise
Kung Fu Panda: Legendary Warriors,2008,Artificial Mind and Movement,Activision,Kung Fu Panda franchise
Kung Fu Panda: Showdown of Legendary Legends,2015,Vicious Cycle Software,Little Orbit,Kung Fu Panda franchise
Kung-Fu Master,1984,Irem (arcade),Irem (JPN arcade),Wheels on Meals
Labyrinth: The Computer Game,1986,Lucasfilm Games,Activision,Labyrinth
List of The Land Before Time video games,1997,,,The Land Before Time film franchise
Land of the Dead: Road to Fiddler's Green,2005,Brainbox Games,Groove Games,Land of the Dead
Last Action Hero,1993,NES:,Sony Imagesoft,Last Action Hero
The Last Airbender,2010,THQ Studio Australia (Wii),THQ,The Last Airbender
The Lawnmower Man,1992,The Sales Curve,SNES,The Lawnmower Man
The Owls of Ga'Hoole,2010,Krome Studios,Warner Bros. Interactive Entertainment,Legend of the Guardians: The Owls of Ga'Hoole
Lego The Hobbit,2014,Traveller's Tales,Warner Bros. Interactive Entertainment,An Unexpected Journey and The Desolation of Smaug
Lego Jurassic World,2015,TT Fusion,Warner Bros. Interactive Entertainment,Jurassic World
Lego Marvel's Avengers,2016,Traveller's Tales,Warner Bros. Interactive Entertainment,several Marvel Cinematic Universe films
Lego Star Wars: The Skywalker Saga,2022,Traveller's Tales,Warner Bros. Interactive Entertainment,Skywalker Saga films
The Lego Batman Movie Game,2017,The Lego Group,Warner Bros. Interactive Entertainment,The Lego Batman Movie
The Lego Movie Videogame,2014,TT Fusion,Warner Bros. Interactive Entertainment,The Lego Movie
The Lego Movie 2 Videogame,2019,Traveller's Tales,Warner Bros. Interactive Entertainment,The Lego Movie 2
The Lego Ninjago Movie Video Game,2017,TT Fusion,Warner Bros. Interactive Entertainment,The Lego Ninjago Movie
Lego The Lord of the Rings,2013,Traveller's Tales,Warner Bros. Interactive Entertainment,The Lord of the Rings film trilogy
Lemony Snicket's A Series of Unfortunate Events,2004,Adrenium Games (console),Activision,Lemony Snicket's A Series of Unfortunate Events
Lethal Weapon,1992,Ocean Software,Ocean Software,Lethal Weapon
Lilo & Stitch: Trouble in Paradise,2002,Blitz Games,Sony Computer Entertainment (PS),Lilo & Stitch
The Lion King,1994,Westwood Studios,Virgin Interactive Entertainment[n],The Lion King
The Lion King 1½,2003,Vicarious Visions,Disney Interactive,The Lion King 1½
The Lion King: Simba's Mighty Adventure,2000,Paradox Development (PS1),Activision,The Lion King
The Little Mermaid,1991,Capcom,Capcom,The Little Mermaid
Little Nicky,2000,Digital Eclipse,Ubi Soft,Little Nicky
Live and Let Die,1988,Elite Systems International,Domark,Live and Let Die
The Living Daylights,1987,"Melbourne House, Sculptured Software",Domark,The Living Daylights
Back in Action,2003,Warthog Games,Electronic Arts,Looney Tunes: Back in Action
The Lord of the Rings: Aragorn's Quest,2010,Headstrong Games,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy
The Return of the King,2003,EA Redwood Shores,EA Games,The Lord of the Rings: The Return of the King
The Third Age,2004,Griptonite Games,Electronic Arts,Lord of the Rings film trilogy
The Lord of the Rings: The Third Age,2004,EA Redwood Shores,EA Games,Lord of the Rings film trilogy
The Two Towers,2002,Stormfront Studios,EA Games,The Lord of the Rings: The Fellowship of the Ring and The Lord of the Rings: The Two Towers
The Lord of the Rings: War in the North,2011,Snowblind Studios,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy
Jurassic Park,1997,Sega AM3,Sega,The Lost World: Jurassic Park
Mad Max,1990,Mindscape,Mindscape,Mad Max 2
Mad Max,2015,Avalanche Studios,Warner Bros. Interactive Entertainment,Mad Max franchise
Madagascar,2005,Toys for Bob[o],Activision,Madagascar
Madagascar Kartz,2009,Sidhe Interactive,Activision,Madagascar
Escape 2 Africa,2008,Toys for Bob,Activision,Madagascar: Escape 2 Africa
Madagascar: Operation Penguin,2005,Vicarious Visions,Activision,Madagascar
The Hands of Fate,2012,FreakZone,FreakZone,Manos: The Hands of Fate
The Mask,1995,Black Pearl Software[35],NA: Black Pearl Software[35],The Mask
Masters of the Universe: The Movie,1987,Gremlin Graphics,Gremlin Graphics,Masters of the Universe
Meet the Robinsons,2007,"Climax Group (DS, GBA)",Disney Interactive Studios,Meet the Robinsons
Megamind,2010,"THQ Studio Australia (Xbox 360, PS3, Wii)",THQ,Megamind
Men in Black II: Alien Escape,2002,Infogrames Melbourne House[p],Infogrames,Men in Black II
Men in Black: The Game,1997,Gigawatt Studios,SouthPeak Interactive (North America),Men in Black
Miami Vice: The Game,2006,Rebellion Developments,Vivendi Universal Games[q],Miami Vice
MIB: Alien Crisis,2012,Fun Labs,Activision,Men in Black 3
Michael Jackson's Moonwalker,1990,,,Moonwalker
"Monsters, Inc.",2001,Vicarious Visions (GBC),THQ (GBC & GBA),"Monsters, Inc."
The Movie,1995,,,Mighty Morphin Power Rangers: The Movie
Minority Report: Everybody Runs,2002,Treyarch,Activision,Minority Report
Impossible,1998,Infogrames,show,Mission: Impossible
Monster House,2006,Artificial Mind and Movement,THQ,Monster House
Monsters vs. Aliens,2009,Beenox,Activision,Monsters vs. Aliens
Monty Python & the Quest for the Holy Grail,1996,7th Level,"7th Level, Panasonic Interactive Media",Monty Python and the Holy Grail
Monty Python's Cow Tossing,2011,Luma Arcade,Zed Group,Monty Python and the Holy Grail
Monty Python's The Meaning of Life,1997,7th Level,"7th Level, Panasonic Interactive Media",Monty Python's The Meaning of Life
The Mummy Demastered,2017,WayForward Technologies,WayForward Technologies,The Mummy (2017)
Tomb of the Dragon Emperor,2008,Eurocom (PlayStation 2 and Wii),Vivendi Games[r],The Mummy: Tomb of the Dragon Emperor
Muppet Treasure Island,1996,,Activision,Muppet Treasure Island
The Muppets Movie Adventures,2014,Virtual Toys,Sony Computer Entertainment,The Muppets and Muppets Most Wanted
Nacho Libre,2006,Majesco Entertainment,Nick Games,Nacho Libre
Napoleon Dynamite: The Game,2007,7 Studios,Crave Entertainment,Napoleon Dynamite
New York Race,2001,Kalisto Entertainment,Wanadoo Edition,The Fifth Element
Battle of the Smithsonian,2009,Amaze Entertainment,Majesco Entertainment,Night at the Museum: Battle of the Smithsonian
A Nightmare on Elm Street,1990,Rare,LJN,Nightmare on Elm Street franchise
No Escape,1994,Bits Corporation,Sony Imagesoft,No Escape
Open Season,2006,Ubisoft Montreal,Ubisoft,Open Season
Over the Hedge,2006,Vicarious Visions,Activision,Over the Hedge
Over the Hedge: Hammy Goes Nuts!,2006,Vicarious Visions (Game Boy Advance version),Activision,Over the Hedge
Pacific Rim,2013,Yuke's,Yuke's,Pacific Rim
The Pagemaster,1994,"Probe Software Ltd. (Genesis, SNES, Game Boy)","Fox Interactive (Genesis, SNES, Game Boy)",The Pagemaster
Pandorum,2009,"Artificial Life, Inc.","Artificial Life, Inc.",Pandorum
Paul McCartney's Give My Regards to Broad Street,1985,Concept Software Ltd,Argus Press Software,Give My Regards to Broad Street
Phantom Fighter,1988,Marionette,JP: Pony Canyon,Mr. Vampire
Across the 2nd Dimension,2011,High Impact Games[36],Disney Interactive Studios,Phineas and Ferb the Movie: Across the 2nd Dimension
Piglet's Big Game,2003,Doki Denki Studio,"Gotham Games (GCN, PS2)",Piglet's Big Movie
Pinocchio,1996,"Virgin Interactive Entertainment (SNES, Mega Drive)","SNES: Nintendo, Capcom (Japan only) [39]",Pinocchio
At World's End,2007,Eurocom,Disney Interactive Studios,Pirates of the Caribbean: Dead Man's Chest and Pirates of the Caribbean: At World's End
Dead Man's Chest,2006,Griptonite Games,Buena Vista Games,Pirates of the Caribbean: Dead Man's Chest
The Curse of the Black Pearl,2003,Pocket Studios,"Disney Interactive, TDK Mediactive",Pirates of the Caribbean: The Curse of the Black Pearl
Plan 9 from Outer Space,1992,Gremlin Graphics,Gremlin Graphics (Europe)/Konami (USA),Plan 9 from Outer Space
Planet of the Apes,2001,Visiware (PC and PlayStation),Ubisoft,Planet of the Apes
Planet of the Apes: Last Frontier,2017,The Imaginati Studios,FOXNEXT Games,Planet of the Apes franchise
Platoon,1987,Ocean Software,"Data East, Sunsoft (NES)",Platoon
The Polar Express,2004,Blue Tongue Entertainment,THQ,The Polar Express
Poltergeist (video game)[40],1982,Tandy,Tandy,Poltergeist
Porky's,1983,,20th Century Fox,Porky's
Predator,1987,Software Studios,Activision,Predator
Predator 2,1990,Oxford Mobius,Image Works,Predator 2
The Punisher,2005,Volition,THQ,The Punisher
Puppet Master: The Game,2023,October Games,"Full Moon Features, October Games",Puppet Master franchise
Puss in Boots,2011,Blitz Games,THQ,Puss in Boots
007: Quantum of Solace,2008,Treyarch[t],Activision,Casino Royale and Quantum of Solace
Quest for Camelot,1998,Titus Interactive,Titus Interactive,Quest for Camelot
R.I.P.D. The Game,2013,Saber Interactive,Atlus USA,R.I.P.D.
Raiders of the Lost Ark,1982,"Atari, Inc.","Atari, Inc.",Raiders of the Lost Ark
Rambo,1985,Platinum Productions,Ocean Software,Rambo: First Blood Part II
First Blood Part II,1986,Sega,Sega,Rambo: First Blood Part II
Rambo III,1988,"Ocean Software, Sega, Taito","Ocean/Taito, Sega",Rambo III
Rango,2011,Behaviour Interactive,Electronic Arts,Rango
Ra.One  The Game,2011,Sony Computer Entertainment,Red Chillies Entertainment,Ra.One
Ratatouille,2007,"Asobo Studio (PS2, Wii, GCN, Xbox, PC, OS X)",THQ,Ratatouille
Ratatouille: Food Frenzy,2007,Helixe,THQ,Ratatouille
Ratchet & Clank,2016,Insomniac Games,Sony Computer Entertainment,Ratchet & Clank
Reign of Fire,2002,Kuju Entertainment,BAM! Entertainment,Reign of Fire
Reservoir Dogs,2006,Volatile Games,Eidos Interactive,Reservoir Dogs
Return of the Jedi: Death Star Battle,1983,Parker Brothers,Parker Brothers,Return of the Jedi
Rise of the Guardians: The Video Game,2012,Torus Games,D3 Publisher,Rise of the Guardians
Ro,2006,Centauri Production,,Ro(c)k podvra?ák?
Prince of Thieves,1991,"Sculptured Software, Bits Studios",Virgin Games,Robin Hood: Prince of Thieves
RoboCop,1988,show,show,RoboCop
RoboCop 2,1990,Special FX (Amiga/Atari ST),Ocean Software (Amiga/Atari ST),RoboCop 2
RoboCop 3,1992,Digital Image Design (Amiga),Flying Edge (Genesis),RoboCop 3
RoboCop,2014,Glu Mobile,Glu Mobile,RoboCop (2014)
RoboCop: Rogue City,2023,Teyon,Nacon,RoboCop
Robots,2005,Eurocom (console),Vivendi Universal Games[u],Robots
The Rocketeer,1991,Ironwind Software,Bandai,The Rocketeer
Rocky Balboa,2007,Ubisoft Montreal,Ubisoft,Rocky Balboa
Rocky Super Action Boxing,1983,Coleco,Coleco,Rocky III
The Room,2010,Newgrounds,Newgrounds,The Room
Rudolph the Red-Nosed Reindeer,2010,High Voltage Software,Red Wagon Games,Rudolph the Red-Nosed Reindeer
The Movie,2000,Avalanche Software (PS1 & N64),THQ,Rugrats in Paris: The Movie
The Rugrats Movie,1998,Software Creations,THQ,The Rugrats Movie
Saw,2009,Zombie Studios,Konami,Saw film franchise
Saw II: Flesh & Blood,2010,Zombie Studios,Konami,Saw film franchise
Scan Command: Jurassic Park,2001,Knowledge Adventure,Knowledge Adventure,Jurassic Park III
Scarface,2012,Fuse Powered Inc.,,Scarface
Scarface: Money. Power. Respect.,2006,FarSight Studios,Vivendi Games[v],Scarface
Scarface: The World Is Yours,2006,Radical Entertainment,Vivendi Games[w],Scarface
The Scorpion King: Sword of Osiris,2002,WayForward Technologies,Universal Interactive,The Scorpion King
The Scorpion King: Rise of the Akkadian,2002,"Point of View, Inc.",Universal Interactive,The Scorpion King
Scott Pilgrim vs. the World: The Game,2010,Ubisoft Montreal (PSN and XBLA),Ubisoft,Scott Pilgrim vs. the World
SD Shin Kamen Rider Rumble,2023,Bandai Namco Entertainment,Bandai Namco Entertainment,Shin Kamen Rider
Seven Samurai 20XX,2004,Dimps,Sammy,Seven Samurai'
The Shadow,1994,Ocean Software,Ocean Software,The Shadow
Shark Tale,2004,Edge of Reality (console),Activision,Shark Tale
Sharknado: The Video Game,2014,Other Ocean Interactive,Majesco Entertainment,Sharknado 2: The Second One
Short Circuit,1987,Ocean Software,,Short Circuit
Shrek,2001,Digital Illusions CE,TDK Mediactive,Shrek
Shrek: Fairy Tale Freakdown,2001,Prolific,TDK Mediactive,Shrek
Shrek: Hassle at the Castle,2002,"Tose Co., Ltd.",TDK Mediactive,Shrek
Shrek: Treasure Hunt,2002,The Code Monkeys,TDK Mediactive,Shrek
Shrek Super Party,2002,Mass Media,TDK Mediactive,Shrek
Shrek 2,2004,Luxoflux (cross-platforming),Activision,Shrek 2
Shrek SuperSlam,2005,"Shaba Games (PS2, GameCube, Xbox)",Activision,Shrek
Shrek Forever After,2010,"PC, PS3, X360, Wii",Activision,Shrek Forever After
Shrek the Third,2007,"7 Studios, Shaba Games (Xbox 360, PC)",Activision,Shrek the Third
Shrek: Ogres & Dronkeys,2007,WayForward Technologies,Activision,Shrek
The Sky Crawlers: Innocent Aces,2008,Project Aces,JP: Namco Bandai,The Sky Crawlers
Small Soldiers,1998,DreamWorks Interactive,Electronic Arts,Small Soldiers
The Smurfs,2011,Magic Pockets,Ubisoft[43][44],The Smurfs
Space Chimps,2008,"Redtribe (PlayStation 2, Wii and Xbox 360)",Brash Entertainment,Space Chimps
Space Jam,1996,Sculptured Software,Acclaim Entertainment,Space Jam
A New Legacy,2021,Digital Eclipse,Digital Eclipse,Space Jam: A New Legacy
Speed Racer: The Videogame,2008,Sidhe Interactive,Warner Bros. Games[47],Speed Racer
Spider-Man,2002,Treyarch[x],Activision,Spider-Man
Spider-Man 2,2004,Treyarch (PS2/Xbox/GameCube),Activision,Spider-Man 2
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3
The Spiderwick Chronicles,2008,Stormfront Studios,Vivendi Games[z],The Spiderwick Chronicles
SpongeBob HeroPants,2015,Behaviour Interactive,Activision,The SpongeBob Movie: Sponge Out of Water
The SpongeBob SquarePants Movie,2004,Heavy Iron Studios,THQ,The SpongeBob SquarePants Movie
The Spy Who Loved Me,1990,The Kremlin,Domark,The Spy Who Loved Me
Star Trek Generations: Beyond the Nexus,1994,Absolute Entertainment,Absolute Entertainment,Star Trek Generations
Star Trek DAC,2009,"Naked Sky Entertainment, Bad Robot Interactive",Paramount Digital Entertainment,Star Trek (2009)
Star Trek Generations,1997,MicroProse,MicroProse,Star Trek Generations
Star Trek: Hidden Evil,1999,Presto Studios,NA: Activision,Star Trek: Insurrection
Star Trek: Phaser Strike,1979,Milton Bradley,Milton Bradley,Star Trek: The Motion Picture
Star Wars,1983,"Atari, Inc.","Atari, Inc.",Star Wars (1977)
The Empire Strikes Back,1982,Parker Brothers,Parker Brothers,The Empire Strikes Back
Episode I  The Phantom Menace,1999,Big Ape Productions,LucasArts,Star Wars: Episode I  The Phantom Menace
Episode II  Attack of the Clones,2002,David A. Palmer Productions,THQ,Star Wars: Episode II  Attack of the Clones
Episode III  Revenge of the Sith,2005,The Collective,LucasArts,Star Wars: Episode III  Revenge of the Sith
Return of the Jedi,1984,"Atari, Inc.",Atari,Return of the Jedi
Stargate,1994,Probe Entertainment,Acclaim Entertainment,Stargate
Starship Troopers,1997,Strangelite,Empire Interactive and Destineer,Starship Troopers
Starship Troopers: Terran Ascendancy,2000,Blue Tongue Entertainment,Hasbro Interactive,Starship Troopers
The Movie,1995,Incredible Technologies,Capcom,Street Fighter
The Sum of All Fears,2002,Red Storm Entertainment,Ubi Soft,The Sum of All Fears
Super Star Wars,1992,Sculptured Software,JVC,Star Wars (1977)
Super Star Wars: Return of the Jedi,1994,Sculptured Software (SNES),"NA: JVC, later re-released by THQ (SNES)",Return of the Jedi
Super Star Wars: The Empire Strikes Back,1993,Sculptured Software,"JVC, later re-released by THQ (SNES)",The Empire Strikes Back
Superman Returns,2006,EA Tiburon,Electronic Arts,Superman Returns
Superman Returns: Fortress of Solitude,2006,Santa Cruz Games/EA Tiburon,Electronic Arts,Superman Returns
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up
Sweet Home,1989,Capcom,Capcom,Sweet Home
Tangled: The Video Game,2010,Disney Interactive Studios,Disney Interactive Studios,Tangled
Tasmania Story,1990,,NA: FCI,Tasmania Story
The Terminator,1990,Bethesda Softworks,Bethesda Softworks,The Terminator
Judgment Day,1991,Midway (arcade),Midway (Arcade),Terminator 2: Judgment Day
Rise of the Machines,2003,Black Ops Entertainment[ab],Atari,Terminator 3: Rise of the Machines
Terminator Salvation,2009,Grin,Equity Games,Terminator Salvation
The Texas Chainsaw Massacre,1983,,Wizard Video,The Texas Chainsaw Massacre film series
The Thing,2002,Computer Artworks,Black Label Games,The Thing
Thor: God of Thunder,2011,"Liquid Entertainment (PS3, Xbox 360)",Sega,Thor
Timecop,1995,Cryo Interactive,Victor Entertainment,Timecop
TMNT,2007,Ubisoft Montreal,Ubisoft,TMNT
Time Stranger,1986,Kemco,,Toki no Tabibito: Time Stranger
Tomorrow Never Dies,1999,Black Ops Entertainment,Electronic Arts,Tomorrow Never Dies
Top Gun,1986,Ocean Software,,Top Gun
Top Gun: The Second Mission,1989,Konami,,Top Gun
Top Gun: Danger Zone,1991,Distinctive Software,Konami,Top Gun
Top Gun: Fire At Will,1996,Spectrum Holobyte,Spectrum Holobyte,Top Gun
Top Gun: Guts and Glory,1993,Distinctive Software[57],NA: Konami[57],Top Gun
Top Gun: Hornet's Nest,1998,Spectrum Holobyte and Zipper Interactive,,Top Gun
Top Gun: Firestorm,2001,Fluid Studios,Titus Interactive,Top Gun
Top Gun: Combat Zones,2001,Digital Integration,Titus Interactive,Top Gun
Top Gun: Hard Lock,2012,505 Games and Paramount Interactive,,Top Gun
Total Recall,1990,"Ocean Software, Interplay Entertainment","Ocean Software, Acclaim Entertainment",Total Recall
Toy Story,1995,Traveller's Tales,Disney Interactive,Toy Story
Toy Story 2: Buzz Lightyear to the Rescue,1999,Traveller's Tales,Activision,Toy Story 2
Toy Story 3: The Video Game,2010,"Avalanche Software (PS3, Wii, Xbox 360, Mac OS X, PC)",Disney Interactive Studios,Toy Story 3
Toy Story Racer,2001,Traveller's Tales,Activision,Toy Story franchise
Toys,1993,"Imagineering, Inc.[58]",Absolute Entertainment,Toys
Transformers Autobots,2007,Vicarious Visions,Activision,Transformers
Transformers Decepticons,2007,Vicarious Visions,Activision,Transformers
Transformers Revenge of the Fallen: Autobots,2009,Vicarious Visions,Activision,Transformers: Revenge of the Fallen
Transformers Revenge of the Fallen: Decepticons,2009,Vicarious Visions,Activision,Transformers: Revenge of the Fallen
Dark of the Moon,2011,High Moon Studios[ac],Activision[ad],Transformers: Dark of the Moon
Revenge of the Fallen,2009,Luxoflux[ae],Activision,Transformers: Revenge of the Fallen
Transformers: The Game,2007,Traveller's Tales,Activision,Transformers
Treasure Planet: Battle at Procyon,2002,Barking Dog Studios,Disney Interactive,Treasure Planet
Tron,1982,Bally Midway,,Tron
Tron: Evolution,2010,Propaganda Games,Disney Interactive Studios,Tron: Legacy
Tron RUN/r,2016,Sanzaru Games,Disney Interactive Studios,Tron franchise
True Lies,1994,Beam Software,Acclaim Entertainment[af],True Lies
Tunnel Rats: 1968,2009,Replay Studios,Boll AG,Tunnel Rats
Un Juego de Huevos,2010,Fabrication Games,Zeebo Inc.,Una Película de Huevos
Underworld: The Eternal War,2004,Lucky Chicken Games,Play It!,Underworld
The Untouchables,1989,Ocean Software,Ocean Software,The Untouchables
Up,2009,"Asobo Studio (PS2, PSP, PC)",THQ,Up
Uuno Turhapuro muuttaa maalle,1986,Pasi Hytönen,Amersoft,Uuno Turhapuro muuttaa maalle
Vampire Hunter D,1999,Victor Interactive Software,Victor Interactive Software,Vampire Hunter D
Van Helsing,2004,Saffire,Vivendi Universal Games[ag],Van Helsing
A View to a Kill,1985,Domark,Domark,A View to a Kill
Virus: It is Aware,1999,Cryo Interactive,Cryo Interactive,Virus
WALL-E,2008,"Heavy Iron Studios (PS3, Xbox 360, Wii)",THQ,WALL-E
Wallace & Gromit: The Curse of the Were-Rabbit,2005,Frontier Developments,Konami,Wallace & Gromit: The Curse of the Were-Rabbit
Wanted: Weapons of Fate,2009,Grin,Warner Bros. Interactive Entertainment,Wanted
WarGames,1984,Coleco,,WarGames
WarGames: Defcon 1,1998,Interactive Studios,MGM Interactive,WarGames
Warlock,1995,Realtime Associates,Acclaim Entertainment[ah],Warlock film series
The Warriors,2005,Rockstar Toronto[ai],Rockstar Games,The Warriors
The Warriors: Street Brawl,2009,CXTM,Paramount Digital Entertainment,The Warriors
Watchmen: The End Is Nigh,2009,Deadline Games,Warner Bros. Interactive Entertainment,Watchmen
Waterworld,1995,"Ocean of America (VB, SS)","Ocean Software (VB, SNES, GB)",Waterworld
Wayne's World,1993,"Gray Matter Inc. (SNES, Mega Drive/Genesis)",Toy Headquarters,Wayne's World
We're Back! A Dinosaur's Story,1993,"Hi-Tech Expressions (SNES, Game Boy, Mega Drive/Genesis)",Visual Concepts,We're Back! A Dinosaur's Story
Where the Wild Things Are,2009,Griptonite Games,Warner Bros. Interactive Entertainment,Where the Wild Things Are
White Men Can't Jump,1995,High Voltage Software,Atari Corporation,White Men Can't Jump
Who Framed Roger Rabbit,1988,Buena Vista Software[59],Buena Vista Software[59],Who Framed Roger Rabbit
Wild Wild West: The Steel Assassin,1999,SouthPeak Interactive,SouthPeak Interactive,Wild Wild West
Willow,1988,Brian A. Rice Inc,Mindscape,Willow
The Wizard of Oz,1993,Manley & Associates,SETA Corporation[60],The Wizard of Oz
The World Is Not Enough,2000,Eurocom,EA Games,The World Is Not Enough
The World of Cars Online,2008,Disney Interactive Studios,The Walt Disney Company,Cars film series
